Country,Date,New_cases,Total_Cases,Total_Percent
Austria,8 Mar 2020,25,25,0.0
Austria,9 Mar 2020,27,52,0.0
Austria,9 Mar 2020,27,52,0.0
Austria,10 Mar 2020,51,103,0.0
Austria,10 Mar 2020,51,103,0.0
Austria,10 Mar 2020,51,103,0.0
Austria,11 Mar 2020,64,167,0.0
Austria,12 Mar 2020,56,223,0.0
Austria,12 Mar 2020,56,223,0.0
Austria,13 Mar 2020,202,425,0.0
Austria,14 Mar 2020,151,576,0.01
Austria,14 Mar 2020,151,576,0.01
Austria,14 Mar 2020,151,576,0.01
Austria,15 Mar 2020,205,781,0.01
Austria,15 Mar 2020,205,781,0.01
Austria,16 Mar 2020,158,939,0.01
Austria,17 Mar 2020,314,1253,0.01
Austria,17 Mar 2020,314,1253,0.01
Austria,18 Mar 2020,314,1567,0.02
Austria,18 Mar 2020,314,1567,0.02
Austria,18 Mar 2020,314,1567,0.02
Austria,19 Mar 2020,367,1934,0.02
Austria,20 Mar 2020,375,2309,0.03
Austria,20 Mar 2020,375,2309,0.03
Austria,21 Mar 2020,426,2735,0.03
Austria,21 Mar 2020,426,2735,0.03
Austria,21 Mar 2020,426,2735,0.03
Austria,22 Mar 2020,768,3503,0.04
Austria,23 Mar 2020,892,4395,0.05
Austria,23 Mar 2020,892,4395,0.05
Austria,24 Mar 2020,809,5204,0.06
Austria,25 Mar 2020,305,5509,0.06
Austria,25 Mar 2020,305,5509,0.06
Austria,25 Mar 2020,305,5509,0.06
Austria,26 Mar 2020,1321,6830,0.08
Austria,26 Mar 2020,1321,6830,0.08
Austria,27 Mar 2020,748,7578,0.09
Austria,28 Mar 2020,614,8192,0.09
Austria,28 Mar 2020,614,8192,0.09
Austria,29 Mar 2020,517,8709,0.1
Austria,29 Mar 2020,517,8709,0.1
Austria,29 Mar 2020,517,8709,0.1
Austria,30 Mar 2020,830,9539,0.11
Austria,31 Mar 2020,562,10101,0.11
Austria,31 Mar 2020,562,10101,0.11
Austria,1 Apr 2020,531,10632,0.12
Austria,2 Apr 2020,418,11050,0.12
Austria,2 Apr 2020,418,11050,0.12
Austria,2 Apr 2020,418,11050,0.12
Austria,3 Apr 2020,395,11445,0.13
Austria,3 Apr 2020,395,11445,0.13
Austria,4 Apr 2020,257,11702,0.13
Austria,5 Apr 2020,270,11972,0.13
Austria,5 Apr 2020,270,11972,0.13
Austria,6 Apr 2020,246,12218,0.14
Austria,6 Apr 2020,246,12218,0.14
Austria,6 Apr 2020,246,12218,0.14
Austria,7 Apr 2020,342,12560,0.14
Austria,8 Apr 2020,303,12863,0.14
Austria,8 Apr 2020,303,12863,0.14
Austria,9 Apr 2020,302,13165,0.15
Austria,9 Apr 2020,302,13165,0.15
Austria,9 Apr 2020,302,13165,0.15
Austria,10 Apr 2020,311,13476,0.15
Austria,11 Apr 2020,251,13727,0.15
Austria,11 Apr 2020,251,13727,0.15
Austria,12 Apr 2020,139,13866,0.16
Austria,13 Apr 2020,96,13962,0.16
Austria,13 Apr 2020,96,13962,0.16
Austria,13 Apr 2020,96,13962,0.16
Austria,14 Apr 2020,185,14147,0.16
Austria,14 Apr 2020,185,14147,0.16
Austria,15 Apr 2020,110,14257,0.16
Austria,16 Apr 2020,140,14397,0.16
Austria,16 Apr 2020,140,14397,0.16
Austria,17 Apr 2020,119,14516,0.16
Austria,17 Apr 2020,119,14516,0.16
Austria,17 Apr 2020,119,14516,0.16
Austria,18 Apr 2020,76,14592,0.16
Austria,19 Apr 2020,78,14670,0.16
Austria,19 Apr 2020,78,14670,0.16
Austria,20 Apr 2020,46,14716,0.17
Austria,21 Apr 2020,78,14794,0.17
Austria,21 Apr 2020,78,14794,0.17
Austria,21 Apr 2020,78,14794,0.17
Austria,22 Apr 2020,52,14846,0.17
Austria,22 Apr 2020,52,14846,0.17
Austria,23 Apr 2020,77,14923,0.17
Austria,24 Apr 2020,69,14992,0.17
Austria,24 Apr 2020,69,14992,0.17
Austria,25 Apr 2020,77,15069,0.17
Austria,25 Apr 2020,77,15069,0.17
Austria,25 Apr 2020,77,15069,0.17
Austria,26 Apr 2020,77,15146,0.17
Austria,27 Apr 2020,49,15195,0.17
Austria,27 Apr 2020,49,15195,0.17
Austria,28 Apr 2020,83,15278,0.17
Austria,28 Apr 2020,83,15278,0.17
Austria,28 Apr 2020,83,15278,0.17
Austria,29 Apr 2020,45,15323,0.17
Austria,30 Apr 2020,50,15373,0.17
Austria,30 Apr 2020,50,15373,0.17
Austria,1 May 2020,79,15452,0.17
Austria,2 May 2020,27,15479,0.17
Austria,2 May 2020,27,15479,0.17
Austria,2 May 2020,27,15479,0.17
Austria,3 May 2020,39,15518,0.17
Austria,3 May 2020,39,15518,0.17
Austria,4 May 2020,24,15542,0.17
Austria,5 May 2020,29,15571,0.17
Austria,5 May 2020,29,15571,0.17
Austria,6 May 2020,34,15605,0.18
Austria,6 May 2020,34,15605,0.18
Austria,6 May 2020,34,15605,0.18
Austria,7 May 2020,68,15673,0.18
Austria,8 May 2020,22,15695,0.18
Austria,8 May 2020,22,15695,0.18
Austria,9 May 2020,59,15754,0.18
Austria,10 May 2020,38,15792,0.18
Austria,10 May 2020,38,15792,0.18
Austria,10 May 2020,38,15792,0.18
Austria,11 May 2020,11,15803,0.18
Austria,11 May 2020,11,15803,0.18
Austria,12 May 2020,79,15882,0.18
Austria,13 May 2020,36,15918,0.18
Austria,13 May 2020,36,15918,0.18
Austria,14 May 2020,61,15979,0.18
Austria,14 May 2020,61,15979,0.18
Austria,14 May 2020,61,15979,0.18
Austria,15 May 2020,51,16030,0.18
Austria,16 May 2020,92,16122,0.18
Austria,16 May 2020,92,16122,0.18
Austria,17 May 2020,41,16163,0.18
Austria,17 May 2020,41,16163,0.18
Austria,17 May 2020,41,16163,0.18
Austria,18 May 2020,27,16190,0.18
Austria,19 May 2020,52,16242,0.18
Austria,19 May 2020,52,16242,0.18
Austria,20 May 2020,32,16274,0.18
Austria,21 May 2020,51,16325,0.18
Austria,21 May 2020,51,16325,0.18
Austria,21 May 2020,51,16325,0.18
Austria,22 May 2020,32,16357,0.18
Austria,22 May 2020,32,16357,0.18
Austria,23 May 2020,50,16407,0.18
Austria,24 May 2020,17,16424,0.18
Austria,24 May 2020,17,16424,0.18
Austria,25 May 2020,36,16460,0.18
Austria,25 May 2020,36,16460,0.18
Austria,25 May 2020,36,16460,0.18
Austria,26 May 2020,18,16478,0.19
Austria,27 May 2020,34,16512,0.19
Austria,27 May 2020,34,16512,0.19
Austria,28 May 2020,37,16549,0.19
Austria,29 May 2020,27,16576,0.19
Austria,29 May 2020,27,16576,0.19
Austria,29 May 2020,27,16576,0.19
Austria,30 May 2020,30,16606,0.19
Austria,30 May 2020,30,16606,0.19
Austria,31 May 2020,46,16652,0.19
Austria,1 Jun 2020,2,16654,0.19
Austria,1 Jun 2020,2,16654,0.19
Austria,2 Jun 2020,26,16680,0.19
Austria,2 Jun 2020,26,16680,0.19
Austria,2 Jun 2020,26,16680,0.19
Austria,3 Jun 2020,12,16692,0.19
Austria,4 Jun 2020,34,16726,0.19
Austria,4 Jun 2020,34,16726,0.19
Austria,5 Jun 2020,38,16764,0.19
Austria,5 Jun 2020,38,16764,0.19
Austria,5 Jun 2020,38,16764,0.19
Austria,6 Jun 2020,55,16819,0.19
Austria,7 Jun 2020,4,16823,0.19
Austria,7 Jun 2020,4,16823,0.19
Austria,8 Jun 2020,66,16889,0.19
Austria,9 Jun 2020,11,16900,0.19
Austria,9 Jun 2020,11,16900,0.19
Austria,9 Jun 2020,11,16900,0.19
Austria,10 Jun 2020,26,16926,0.19
Austria,10 Jun 2020,26,16926,0.19
Austria,11 Jun 2020,29,16955,0.19
Austria,12 Jun 2020,30,16985,0.19
Austria,12 Jun 2020,30,16985,0.19
Austria,13 Jun 2020,14,16999,0.19
Austria,13 Jun 2020,14,16999,0.19
Austria,13 Jun 2020,14,16999,0.19
Austria,14 Jun 2020,31,17030,0.19
Austria,15 Jun 2020,26,17056,0.19
Austria,15 Jun 2020,26,17056,0.19
Austria,16 Jun 2020,54,17110,0.19
Austria,17 Jun 2020,14,17124,0.19
Austria,17 Jun 2020,14,17124,0.19
Austria,17 Jun 2020,14,17124,0.19
Austria,18 Jun 2020,20,17144,0.19
Austria,18 Jun 2020,20,17144,0.19
Austria,19 Jun 2020,48,17192,0.19
Austria,20 Jun 2020,52,17244,0.19
Austria,20 Jun 2020,52,17244,0.19
Austria,21 Jun 2020,18,17262,0.19
Austria,21 Jun 2020,18,17262,0.19
Austria,21 Jun 2020,18,17262,0.19
Austria,22 Jun 2020,39,17301,0.19
Austria,23 Jun 2020,28,17329,0.19
