,Country,Date,Atleast1dose,FullVaccination,DosePer,FullVaccPer
0,Austria,2020-12-27,731,0,0.00,0.00
1,Austria,2020-12-28,2025,0,0.00,0.00
2,Austria,2020-12-30,4991,0,0.10,0.00
3,Austria,2020-12-31,4999,0,0.10,0.00
4,Austria,2021-01-02,5008,0,0.10,0.00
5,Austria,2021-01-04,5124,0,0.10,0.00
6,Austria,2021-01-05,6914,0,0.10,0.00
7,Austria,2021-01-07,10920,0,0.10,0.00
8,Austria,2021-01-09,28249,0,0.30,0.00
9,Austria,2021-01-10,30460,0,0.30,0.00
10,Austria,2021-01-12,50543,0,0.60,0.00
11,Austria,2021-01-13,65720,0,0.70,0.00
12,Austria,2021-01-15,100146,3,1.10,0.00
13,Austria,2021-01-17,112207,372,1.30,0.00
14,Austria,2021-01-18,122684,1261,1.40,0.00
15,Austria,2021-01-20,169128,3993,1.90,0.00
16,Austria,2021-01-22,199630,4739,2.30,0.10
17,Austria,2021-01-23,202743,4741,2.30,0.10
18,Austria,2021-01-25,205359,4850,2.30,0.10
19,Austria,2021-01-26,212935,5739,2.40,0.10
20,Austria,2021-01-28,227578,8883,2.60,0.10
21,Austria,2021-01-30,234214,20828,2.60,0.20
22,Austria,2021-01-31,234568,21825,2.60,0.20
23,Austria,2021-02-02,239254,38795,2.70,0.40
24,Austria,2021-02-04,245409,70362,2.80,0.80
25,Austria,2021-02-05,249473,87092,2.80,1.00
26,Austria,2021-02-07,252815,97691,2.90,1.10
27,Austria,2021-02-08,254846,105236,2.90,1.20
28,Austria,2021-02-10,261189,139543,2.90,1.60
29,Austria,2021-02-12,274675,176593,3.10,2.00
30,Austria,2021-02-13,279909,181659,3.20,2.10
31,Austria,2021-02-15,284258,186402,3.20,2.10
32,Austria,2021-02-17,300893,203393,3.40,2.30
33,Austria,2021-02-18,312450,211320,3.50,2.40
34,Austria,2021-02-20,336489,221407,3.80,2.50
35,Austria,2021-02-21,341997,221788,3.90,2.50
36,Austria,2021-02-23,357245,228019,4.00,2.60
37,Austria,2021-02-25,389586,234963,4.40,2.70
38,Austria,2021-02-26,413301,239635,4.70,2.70
39,Austria,2021-02-28,445638,242024,5.00,2.70
40,Austria,2021-03-02,476003,245174,5.40,2.80
41,Austria,2021-03-03,501199,247503,5.70,2.80
42,Austria,2021-03-05,558237,253145,6.30,2.90
43,Austria,2021-03-06,583580,255617,6.60,2.90
44,Austria,2021-03-08,604790,257620,6.80,2.90
45,Austria,2021-03-10,653457,265541,7.40,3.00
46,Austria,2021-03-11,692387,270924,7.80,3.10
47,Austria,2021-03-13,789670,281927,8.90,3.20
48,Austria,2021-03-15,833242,288313,9.40,3.30
49,Austria,2021-03-16,854954,294532,9.70,3.30
50,Austria,2021-03-18,906664,310366,10.20,3.50
51,Austria,2021-03-19,950548,318670,10.70,3.60
