,Country,Date,Atleast1dose,FullVaccination,DosePer,FullVaccPer
1,Austria,27-Dec-20,731,0,0.00%,0.00%
2,Austria,28-Dec-20,"2,025",0,0.00%,0.00%
3,Austria,30-Dec-20,"4,991",0,0.10%,0.00%
4,Austria,31-Dec-20,"4,999",0,0.10%,0.00%
5,Austria,02-Jan-21,"5,008",0,0.10%,0.00%
6,Austria,04-Jan-21,"5,124",0,0.10%,0.00%
7,Austria,05-Jan-21,"6,914",0,0.10%,0.00%
8,Austria,07-Jan-21,"10,920",0,0.10%,0.00%
9,Austria,09-Jan-21,"28,249",0,0.30%,0.00%
10,Austria,10-Jan-21,"30,460",0,0.30%,0.00%
11,Austria,12-Jan-21,"50,543",0,0.60%,0.00%
12,Austria,13-Jan-21,"65,720",0,0.70%,0.00%
13,Austria,15-Jan-21,"1,00,146",3,1.10%,0.00%
14,Austria,17-Jan-21,"1,12,207",372,1.30%,0.00%
15,Austria,18-Jan-21,"1,22,684","1,261",1.40%,0.00%
16,Austria,20-Jan-21,"1,69,128","3,993",1.90%,0.00%
17,Austria,22-Jan-21,"1,99,630","4,739",2.30%,0.10%
18,Austria,23-Jan-21,"2,02,743","4,741",2.30%,0.10%
19,Austria,25-Jan-21,"2,05,359","4,850",2.30%,0.10%
20,Austria,26-Jan-21,"2,12,935","5,739",2.40%,0.10%
21,Austria,28-Jan-21,"2,27,578","8,883",2.60%,0.10%
22,Austria,30-Jan-21,"2,34,214","20,828",2.60%,0.20%
23,Austria,31-Jan-21,"2,34,568","21,825",2.60%,0.20%
24,Austria,02-Feb-21,"2,39,254","38,795",2.70%,0.40%
25,Austria,04-Feb-21,"2,45,409","70,362",2.80%,0.80%
26,Austria,05-Feb-21,"2,49,473","87,092",2.80%,1.00%
27,Austria,07-Feb-21,"2,52,815","97,691",2.90%,1.10%
28,Austria,08-Feb-21,"2,54,846","1,05,236",2.90%,1.20%
29,Austria,10-Feb-21,"2,61,189","1,39,543",2.90%,1.60%
30,Austria,12-Feb-21,"2,74,675","1,76,593",3.10%,2.00%
31,Austria,13-Feb-21,"2,79,909","1,81,659",3.20%,2.10%
