"['SOFIX', 'Austria']",Austria
"['BGBX40', 'Austria']",Austria
"['BGREIT', 'Austria']",Austria
"['BGTR30', 'Austria']",Austria
"['HZVG', 'Belgium']",Belgium
"['DLKV', 'Belgium']",Belgium
"['DOY', 'Ireland']",Ireland
"['A5G', 'Ireland']",Ireland
"['DD7E', 'Ireland']",Ireland
"['DD7D', 'Ireland']",Ireland
"['BIRG', 'Ireland']",Ireland
"['C5H', 'Ireland']",Ireland
"['DD8A', 'Ireland']",Ireland
"['DD8B', 'Ireland']",Ireland
"['CRG', 'Ireland']",Ireland
"['DHG', 'Ireland']",Ireland
"['DLE', 'Ireland']",Ireland
"['GUI1', 'Ireland']",Ireland
"['DQ7A', 'Ireland']",Ireland
"['IR5B', 'Ireland']",Ireland
"['IRES', 'Ireland']",Ireland
"['ENI', 'Italy']",Italy
"['ENEL', 'Italy']",Italy
"['UCG', 'Italy']",Italy
"['RDSA', 'Netherland']",Netherland
"['UNA', 'Netherland']",Netherland
"['HEIA', 'Netherland']",Netherland
"['REL', 'Netherland']",Netherland
"['ITX', 'Spain']",Spain
"['IBE', 'Spain']",Spain
"['MTS', 'Spain']",Spain
"['IEKG', 'Romania']",Romania
"['POSR', 'Romania']",Romania
"['MELR', 'Romania']",Romania
"['ZVTG', 'Romania']",Romania
"['LKPG', 'Romania']",Romania
"['DAX30', 'Germany']",Germany
"['MOEX', 'Germany']",Germany
"['TSX', 'Germany']",Germany
"['BMW', 'Germany']",Germany
"['ADSGN', 'Germany']",Germany
"['ALVG', 'Germany']",Germany
"['BASFN', 'Germany']",Germany
"['BAYGN', 'Germany']",Germany
"['BEIG', 'Germany']",Germany
"['1COV', 'Germany']",Germany
"['DAIGn', 'Germany']",Germany
"['DHER', 'Germany']",Germany
"['BMWG', 'Germany']",Germany
"['PLNGBP', 'Poland']",Poland
"['PLNEUR', 'Poland']",Poland
"['PLNUSD', 'Poland']",Poland
"['BET-TR', 'Romania']",Romania
"['BET-FI', 'Romania']",Romania
"['ROTX', 'Romania']",Romania
"['RMS', 'France']",France
"['RNO', 'France']",France
"['SW', 'France']",France
